Name,Listing id,Price,Link,Year,Age
Used 2018 Lexus IS 300,564892316,32495,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564892316,2018,3
Used 2017 Lexus RX 350 AWD,569496793,32495,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569496793,2017,4
Used 2019 Lexus GX 460,569002886,48883,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569002886,2019,2
Used 2019 Lexus ES 350,566182093,28699,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566182093,2019,2
Used 2017 Lexus IS 300 AWD,565700626,26800,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565700626,2017,4
Used 2004 Lexus GX 470,570149856,6539,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570149856,2004,17
Used 2012 Lexus CT 200h,564398786,8499,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564398786,2012,9
Used 2017 Lexus RX 350 AWD,568727364,30999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568727364,2017,4
Used 2010 Lexus IS 250C,570039504,16887,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570039504,2010,11
Used 2017 Lexus ES 350 Premium,570737936,23500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570737936,2017,4
Used 2017 Lexus IS 200t,565239647,23995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565239647,2017,4
Used 2017 Lexus ES 300h,564531587,25995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=564531587,2017,4
Used 2017 Lexus RX 350 AWD,563876756,33950,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563876756,2017,4
Used 2019 Lexus RX 350 FWD,563885521,39989,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563885521,2019,2
Used 2020 Lexus NX 300 FWD,572016920,35427,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=572016920,2020,1
Used 2008 Lexus RX 400h AWD,571511306,11995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571511306,2008,13
Used 2016 Lexus ES 300h,565544746,22308,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565544746,2016,5
Used 2016 Lexus ES 350,561695946,20990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=561695946,2016,5
