"","country","GDP_per","CO2_emission","Population"
"141","Paraguay",11809.9464262524,0.942414766534714,6688746
"142","Qatar",97305.9255527749,41.6421622085115,2565710
"143","Romania",23944.301773163,3.61914153968264,19815616
"144","Serbia",15513.9105539582,6.18989263863558,7095383
"145","Russian Federation",25566.2876349341,11.7852203798736,144096870
"146","Rwanda",1888.77013973419,0.0845059372045438,11369071
"147","Saudi Arabia",48921.2212500392,20.4022516221007,31717667
"148","Solomon Islands",2303.23912466426,0.31616366946435,603118
"149","Seychelles",25609.2897355963,5.25993641550434,93419
"150","Sweden",51704.5030400297,3.89632404160917,9799186
"151","Singapore",89366.3078891257,11.1023602159493,5535002
"152","Slovenia",33949.6025823699,6.07218355333649,2063531
"153","Slovak Republic",29453.6522065811,5.76775899410764,5423801
"154","Sierra Leone",1551.82200863819,0.148788315085764,7171914
"155","Senegal",2966.45351602599,0.729704490714691,14578459
"156","Suriname",17349.3357260718,3.08237785325042,559143
"157","Sao Tome and Principe",3757.74691791832,0.570003810822737,199432
"158","El Salvador",8143.01691717694,1.0829757645858,6325124
"159","Eswatini",8375.25534887591,0.890142059555597,1104044
"160","Turks and Caicos Islands",24140.7200726982,5.70723437369723,35981
"161","Chad",1857.10733723028,0.0709441409966356,14110975
"162","Togo",1447.229049177,0.360032242920336,7323158
"163","Thailand",16301.5380925689,4.13835221791799,68714511
"164","Tajikistan",2821.65631103865,0.592079302316008,8454028
"165","Timor-Leste",3302.71750898721,0.41994329191124,1196302
"166","Turkmenistan",12993.522470645,12.6990918887022,5565287
"167","Tunisia",10519.7393859661,2.70598282693418,11179949
"168","Tonga",6026.09148660098,1.20073228088628,100781
"169","Turkey",26015.4884594854,4.46123115481488,78529409
"170","Trinidad and Tobago",29182.5706473372,33.7550849139768,1370328
"171","Tuvalu",3728.53876101543,0.991170375709523,11099
"172","Tanzania",2354.13922093999,0.251220814599751,51482633
"173","Ukraine",11237.0744571217,4.34697596024417,45154036
"174","Uganda",2052.33810905658,0.139771240905896,38225453
"175","United States",58535.7680204966,15.989866258056,320635163
"176","Uruguay",20588.3931218595,1.96353790391526,3412009
"177","Uzbekistan",6086.71574219474,3.2885827616945,31298900
"178","St. Vincent and the Grenadines",11971.9932829377,2.01579506724814,109148
"179","Vietnam",6438.26027051251,2.03210755160208,92677076
"180","Vanuatu",3042.14084053288,0.486895585143658,271130
"181","Samoa",6007.35129593462,1.21277640261895,193513
"182","South Africa",12840.0358670301,8.37665534191835,55386367
"183","Zambia",3443.54924897561,0.285427858211675,15879361
"184","Zimbabwe",2958.20900407292,0.891623872056209,13814629
