"open","high","low","close","volume","dates","CloseValueAboveMean","Year"
158.033997,160.639999,156.632004,160.102005,16216000,158.033997,"False","158."
171.037994,173.964005,152.699997,156.376007,28471900,171.037994,"False","171."
151,154.554001,136.608002,140.264008,32531800,151,"False","151"
140.199997,152.399994,139.600006,152.238007,19237100,140.199997,"False","140."
157.957993,159.783997,152.436005,153.641998,16991700,157.957993,"False","157."
155.300003,157.960007,152.222,156.516006,11089400,155.300003,"False","155."
155.442001,159.279999,154.470001,156.007996,57638500,155.442001,"False","155."
158.753998,164.800003,157.401993,163.884003,80650500,158.753998,"False","158."
158.102005,164.800003,157,162.257996,82598000,158.102005,"False","158."
165.399994,168.658005,161.600006,161.882004,79534500,165.399994,"False","165."
164.166,165.199997,152.660004,158.192001,95327500,164.166,"False","164."
156,160.671997,152.800003,160.666,68411000,156,"False","156"
158.070007,161.009995,157.309998,159.834,52592000,158.070007,"False","158."
165.556,166.944,160.776001,162.725998,58490500,165.556,"False","165."
163.033997,164.414001,161.216003,161.602005,48182500,163.033997,"False","163."
164.100006,165.199997,162.360001,163.112,36546500,164.100006,"False","164."
163.199997,166.5,159.199997,165.520004,61273000,163.199997,"False","163."
164.434006,166.356003,162.399994,163.376007,49937500,164.434006,"False","164."
166.899994,166.919998,163.141998,163.774002,40448500,166.899994,"False","166."
164.171997,165.542007,157,164.046005,57747500,164.171997,"False","164."
162.701996,164.949997,160.337997,161.162003,36278000,162.701996,"False","162."
161.75,167,160.841995,167,59062500,161.75,"False","161."
171.600006,179.800003,170.820007,179.619995,74697500,171.600006,"False","171."
178.940002,181.731995,174.199997,176.311996,67828000,178.940002,"False","178."
177.623993,179.587997,176.020004,176.591995,39747500,177.623993,"False","177."
177.975998,179.149994,171.688004,172.876007,44438500,177.975998,"False","177."
175.567993,177.304001,173.240005,177.132004,39059500,175.567993,"False","175."
183.800003,190,181.832001,189.983994,70873500,183.800003,"False","183."
188.001999,190.888,184.785995,188.134003,56941000,188.001999,"False","188."
198.376007,205.496002,196.5,205.009995,92817000,198.376007,"False","198."
198.039993,203.792007,194.399994,194.567993,79582500,198.039993,"False","198."
196,197.595993,182.520004,187.056,83817000,196,"False","196"
183.557999,199.768005,181.699997,198.179993,78486000,183.557999,"False","183."
202.369995,202.576004,192.477997,196.425995,70255500,202.369995,"False","202."
197.542007,201,196.514008,198.358002,49454000,197.542007,"False","197."
200.600006,203.839996,198.893997,200.792007,48759500,200.600006,"False","200."
202.556,203.194,198.268005,200.179993,43398500,202.556,"False","202."
199.990005,201.776001,198.003998,198.863998,31812000,199.990005,"False","199."
